client_id,client_type,first_name,last_name,gender,country,region,acquisition_purpose,satisfaction_score,loan_applied,referral_channel,is_investor,engagement_score,sale_price,price_per_sqft,floor_area_sqft,properties_bought,cluster,segment,investment_profile,investment_score
C0051,Individual,Matilda,Madden,F,Usa,Colorado,Home,3,No,Agency,0,3,1270440.42,311.66896833269914,1039.56,4,3,High-Value Clients,Moderate Investor,0.30379122778053225
C0052,Individual,Myla,Ewing,F,Usa,Oregon,Investment,2,No,Client,1,2,1474211.53,313.93085115429466,1187.925,4,0,Budget Buyers,High Potential Investor,0.36332687185422685
C0053,Individual,Miguel,Walter,M,Usa,Arizona,Home,4,No,Agency,0,4,1120539.44,300.1860077066342,929.245,4,3,High-Value Clients,Low Potential,0.2599910235994143
C0054,Company,Bridger CAL,Co,M,Usa,Nevada,Investment,5,No,Website,1,5,2109277.6,315.86931081501643,1115.6333333333334,6,2,Mid-Segment Buyers,High Potential Investor,0.5488717184308639
C0055,Individual,Mara,Franco,F,Usa,California,Home,5,Yes,Agency,0,5,1178979.21,309.2760373361762,989.8299999999999,4,3,High-Value Clients,Low Potential,0.2770685854041663
C0056,Individual,Erik,Mora,M,Usa,Oregon,Investment,5,No,Agency,1,5,1579301.3599999999,299.9967738714426,1355.5975,4,0,Budget Buyers,High Potential Investor,0.3940249516866349
C0057,Individual,Henry,Kennedy,M,Usa,California,Home,4,Yes,Agency,0,4,2020519.52,300.50658351907526,1344.1439999999998,5,1,Premium Investors,High Potential Investor,0.522933489847071
C0058,Company,Kenyon,Co,F,Usa,California,Investment,1,Yes,Website,1,1,1441406.17,310.29079874620993,919.8399999999999,5,0,Budget Buyers,High Potential Investor,0.3537410900805232
C0059,Individual,Oswaldo,Palmer,M,Usa,California,Home,2,No,Website,0,2,1278854.25,283.8232393320658,1102.44,4,3,High-Value Clients,Moderate Investor,0.3062386020604569
C0060,Individual,Kassidy,Vega,F,Usa,California,Home,5,No,Website,0,5,1355662.25,307.18982419806434,1119.4675,4,1,Premium Investors,Moderate Investor,0.3286882683633848
C0061,Individual,Morgan,Glass,M,Usa,Utah,Home,5,No,Agency,0,5,1306907.58,296.353773633854,1101.62,4,1,Premium Investors,Moderate Investor,0.31443966789218214
C0062,Individual,Tyler,Carr,M,Usa,California,Home,5,Yes,Client,0,5,1489333.49,276.0988660647487,1059.8319999999999,5,1,Premium Investors,High Potential Investor,0.3677303301758918
C0063,Individual,Yesenia,Marquez,F,Usa,Arizona,Home,4,No,Website,0,4,1625480.88,291.6406727352229,1112.538,5,1,Premium Investors,High Potential Investor,0.4075138060212002
C0064,Individual,Gordon,Brown,M,Uk,Northern Ireland,Investment,4,No,Agency,1,4,1448881.28,322.47075587906164,1095.85,4,0,Budget Buyers,High Potential Investor,0.3559296011196406
C0065,Individual,Rodrigo,Ramirez,M,Usa,California,Home,1,No,Agency,0,1,1557125.73,309.23446412471526,1261.5275,4,1,Premium Investors,High Potential Investor,0.3875495230703699
C0066,Individual,Melanie,Holland,F,Usa,California,Investment,3,No,Client,1,3,1107164.17,301.943428392913,932.7550000000001,4,0,Budget Buyers,Low Potential,0.2560840277641821
C0067,Individual,Enrique,Cardenas,M,Usa,California,Home,2,No,Website,0,2,1431941.84,326.17452103134707,851.818,5,3,High-Value Clients,High Potential Investor,0.35098203987253473
C0068,Individual,Helen,Williamson,F,Usa,Colorado,Home,5,Yes,Agency,0,5,1572779.33,276.6905992190839,1450.2925,4,1,Premium Investors,High Potential Investor,0.392110270290023
C0069,Individual,Isis,Rios,M,Usa,California,Investment,4,No,Website,1,4,1439142.47,297.7396515670927,957.588,5,0,Budget Buyers,High Potential Investor,0.35307482818058017
C0070,Individual,Kayley,Nielsen,F,Usa,Arizona,Home,4,Yes,Website,0,4,1521570.62,290.66906938876934,1039.274,5,1,Premium Investors,High Potential Investor,0.3771545480128323
C0071,Individual,Donavan,Flowers,M,Usa,California,Home,1,Yes,Client,0,1,1150384.09,289.8681345339796,833.3799999999999,5,3,High-Value Clients,Low Potential,0.2687067434981323
C0072,Individual,Augustus,Hinton,M,Usa,Nevada,Investment,2,No,Website,1,2,1571854.5,326.35561482695647,995.8280000000001,5,0,Budget Buyers,High Potential Investor,0.3918597071788201
C0073,Individual,Alejandra,Greer,F,Denmark,Capital Region,Investment,1,No,Agency,1,1,1413902.33,302.3803783087699,1194.0325,4,0,Budget Buyers,Moderate Investor,0.3457021706697589
C0074,Individual,Violet,Nixon,F,Usa,Oregon,Investment,5,No,Client,1,5,1709458.65,299.642237208085,1138.044,5,0,Budget Buyers,High Potential Investor,0.4320523358315084
C0075,Individual,Jaelyn,Berger,F,Usa,California,Home,3,No,Website,0,3,1269395.74,302.3884329270391,1048.3425,4,3,High-Value Clients,Moderate Investor,0.3034823942114219
C0076,Individual,Tristian,Fuller,M,Usa,California,Home,5,No,Agency,0,5,1905852.0899999999,296.64819897219985,1067.28,6,2,Mid-Segment Buyers,High Potential Investor,0.48943043986551515
C0077,Individual,Christian,Costa,M,Usa,California,Home,5,No,Website,0,5,1880012.18,316.7556317413306,1191.826,5,1,Premium Investors,High Potential Investor,0.4818885760028352
C0078,Individual,Nora,Lynch,F,Usa,California,Home,5,No,Website,0,5,1685882.3900000001,300.1684643304417,1415.63,4,1,Premium Investors,High Potential Investor,0.42516410463266036
C0079,Individual,Dangelo,Shea,M,Belgium,Brussels,Investment,4,No,Website,1,4,1456436.3,294.36648924010007,1219.0675,4,0,Budget Buyers,High Potential Investor,0.3581259609709992
C0080,Individual,Aiyana,Christensen,F,Usa,California,Investment,3,No,Website,1,3,1427531.56,308.57401306942813,965.024,5,0,Budget Buyers,High Potential Investor,0.34968675409612654
C0081,Individual,Sidney,Cline,F,Usa,California,Home,4,Yes,Website,0,4,867089.4199999999,277.9220216174023,1059.0066666666667,3,3,High-Value Clients,Low Potential,0.18593308097550504
C0082,Individual,Kaitlin,Owen,F,Usa,Virginia,Investment,5,No,Client,1,5,1282267.95,295.1400683027561,884.2239999999999,5,0,Budget Buyers,Moderate Investor,0.30724066436132236
C0083,Individual,Issac,Edwards,M,Usa,California,Home,5,No,Website,0,5,1513641.46,293.88787475036446,851.395,6,2,Mid-Segment Buyers,High Potential Investor,0.37483937835170117
C0084,Individual,Zaiden,Merritt,M,Usa,Wyoming,Home,3,No,Agency,0,3,1762231.92,320.648282067402,1083.6119999999999,5,1,Premium Investors,High Potential Investor,0.44747889254860174
C0085,Individual,Iris,Larsen,M,Usa,California,Home,4,Yes,Agency,0,4,1185505.46,299.80444699080437,986.395,4,3,High-Value Clients,Low Potential,0.2789716336847334
C0086,Individual,Grace,Stein,F,Usa,California,Home,3,Yes,Website,0,3,1928188.6099999999,287.17025376935896,1354.634,5,1,Premium Investors,High Potential Investor,0.4959524890569257
C0087,Individual,Alessandra,Perry,F,Usa,California,Home,4,No,Agency,0,4,1681153.28,324.3612820820306,1287.6625,4,1,Premium Investors,High Potential Investor,0.4237918513864708
C0088,Individual,Jamal,Mueller,M,Usa,Oregon,Investment,2,No,Website,1,2,1450519.57,313.37109309610923,786.9733333333334,6,0,Budget Buyers,High Potential Investor,0.35640509590212394
C0089,Individual,Irvin,Ellis,M,Usa,California,Home,3,No,Agency,0,3,1041853.81,305.25889798935304,854.79,4,3,High-Value Clients,Low Potential,0.23700385931040763
C0090,Individual,Terry,Forbes,M,Usa,California,Home,5,No,Client,0,5,980850.4199999999,276.47076234096636,703.798,5,3,High-Value Clients,Low Potential,0.21916982031697774
C0091,Individual,Jacqueline,Grant,F,Usa,California,Home,4,No,Website,0,4,1356644.74,302.4076252717272,1161.6775,4,1,Premium Investors,Moderate Investor,0.3289734540540895
C0092,Individual,Brock,Fischer,M,Usa,Kansas,Home,3,No,Website,0,3,2817926.96,288.69570491545005,1218.0425,8,2,Mid-Segment Buyers,High Potential Investor,0.7559035452449355
C0093,Individual,Curtis,Howard,M,Usa,California,Home,2,No,Agency,0,2,1732558.38,291.74734316486075,1196.466,5,1,Premium Investors,High Potential Investor,0.4387980818899
C0094,Individual,Avah,Huang,F,Usa,California,Home,5,No,Website,0,5,1062675.82,310.0683930408275,692.664,5,3,High-Value Clients,Low Potential,0.24308937784665358
C0095,Individual,Frank,Meyer,M,Usa,California,Home,3,Yes,Agency,0,3,1668973.02,298.63939481980276,923.105,6,2,Mid-Segment Buyers,High Potential Investor,0.4202235824696371
C0096,Individual,Darien,Dorsey,M,Usa,California,Investment,3,Yes,Website,1,3,1363013.17,310.9008896654844,1113.615,4,0,Budget Buyers,Moderate Investor,0.33083748859089135
C0097,Individual,Franklin,Mack,M,Usa,Virginia,Home,5,Yes,Website,0,5,2189906.04,294.3620163184772,1061.722857142857,7,2,Mid-Segment Buyers,High Potential Investor,0.5724201979760595
C0098,Individual,Elena,Petrova,F,Russia,Saint Petersburg,Home,3,Yes,Agency,0,3,1131592.65,285.7158462047039,981.955,4,3,High-Value Clients,Low Potential,0.2632147412588212
C0099,Individual,Jack,Hanson,M,Usa,California,Investment,4,No,Website,1,4,2000308.58,290.00847022953025,1201.5883333333334,6,2,Mid-Segment Buyers,High Potential Investor,0.5170247751401278
C0100,Individual,Emmett,Estes,M,Usa,California,Home,3,No,Website,0,3,1449544.65,306.726846175456,1174.44,4,1,Premium Investors,High Potential Investor,0.3561171837542664
C0101,Individual,Aniya,Miller,F,Usa,Nevada,Home,3,No,Website,0,3,1125013.8,312.8174483617631,874.345,4,3,High-Value Clients,Low Potential,0.2613031929463678
C0102,Individual,Jack,Anderson,M,Usa,California,Investment,5,Yes,Website,1,5,3403263.85,307.50877635454384,1222.908888888889,9,2,Mid-Segment Buyers,High Potential Investor,0.9269257715847293
C0103,Individual,Kael,Hurley,M,Usa,Colorado,Home,3,No,Website,0,3,1483838.77,315.5271021087973,964.9799999999999,5,1,Premium Investors,High Potential Investor,0.36614032793382345
C0104,Individual,Kamden,Stewart,M,Usa,California,Home,5,No,Website,0,5,1677155.01,306.5429479475834,1090.3,5,1,Premium Investors,High Potential Investor,0.42261695280088096
C0105,Individual,Aniyah,Ali,F,Usa,California,Investment,2,Yes,Website,1,2,1328084.36,310.2787991501492,850.948,5,0,Budget Buyers,Moderate Investor,0.32063248596138916
C0106,Individual,Simon,Bennett,M,Usa,Colorado,Home,4,No,Website,0,4,957679.27,280.4893799740676,820.9825000000001,4,3,High-Value Clients,Low Potential,0.212401405698882
C0107,Individual,Laurel,Benitez,M,Usa,California,Home,4,Yes,Agency,0,4,1715058.23,321.0937472547081,1102.66,5,1,Premium Investors,High Potential Investor,0.433696592905088
C0108,Individual,Trey,Strong,M,Usa,California,Home,4,No,Agency,0,4,1998798.72,302.2877171442092,1104.1699999999998,6,2,Mid-Segment Buyers,High Potential Investor,0.5165883338119561
C0109,Individual,Myah,Roman,F,Usa,California,Investment,5,Yes,Agency,1,5,1995551.0899999999,307.1535990413305,1285.854,5,0,Budget Buyers,High Potential Investor,0.515641290046641
C0110,Individual,Nyla,Blake,F,Usa,California,Investment,5,Yes,Agency,1,5,1205555.46,298.5467864426498,811.4019999999999,5,0,Budget Buyers,Moderate Investor,0.2848293322891985
C0111,Individual,Kole,Shannon,M,Usa,Arizona,Home,2,Yes,Website,0,2,1198421.22,329.6075126945271,896.7175,4,3,High-Value Clients,Low Potential,0.2827567689090665
C0112,Individual,Melany,Glover,F,Usa,California,Investment,1,Yes,Agency,1,1,1775142.2,320.07470915259364,1115.986,5,0,Budget Buyers,High Potential Investor,0.45125069080329827
C0113,Individual,Arthur,Bray,M,Usa,Utah,Investment,4,No,Agency,1,4,1414433.46,297.92723512048633,1186.715,4,0,Budget Buyers,Moderate Investor,0.3458556132181167
C0114,Individual,Kamila,Collier,F,Usa,California,Home,1,Yes,Website,0,1,1124004.05,302.70651871845456,932.9449999999999,4,3,High-Value Clients,Low Potential,0.26100424119781496
C0115,Individual,Amanda,Simon,F,Usa,California,Home,5,No,Agency,0,5,1757354.59,305.823176955505,1143.692,5,1,Premium Investors,High Potential Investor,0.4460481351629
C0116,Individual,Erika,Steward,F,Usa,California,Investment,4,No,Website,1,4,2484590.08,293.7700492203778,1039.8925,8,2,Mid-Segment Buyers,High Potential Investor,0.6585164474043481
C0117,Individual,Jakobe,Bailey,M,Uk,Scotland,Investment,4,No,Agency,1,4,2884556.25,314.48715228134006,1135.78625,8,2,Mid-Segment Buyers,High Potential Investor,0.775380396773856
C0118,Individual,Sonia,Choi,F,Usa,Oregon,Investment,5,No,Agency,1,5,1218377.19,311.2890512146992,1009.1225,4,0,Budget Buyers,Moderate Investor,0.28858015443966034
C0119,Individual,Erika,Gallagher,F,Usa,California,Home,1,Yes,Website,0,1,1603043.92,288.059030603339,1399.315,4,1,Premium Investors,High Potential Investor,0.4009569348887285
C0120,Individual,Madeline,Michael,F,Usa,California,Home,4,Yes,Website,0,4,1753587.39,275.99413507449765,1243.96,5,1,Premium Investors,High Potential Investor,0.4449358734288713
C0121,Individual,Bennett,Chen,M,Usa,Nevada,Home,2,No,Website,0,2,1169150.31,290.52748167423425,806.688,5,3,High-Value Clients,Low Potential,0.2741898218906988
C0122,Individual,Belinda,Hogan,F,Usa,California,Home,1,Yes,Agency,0,1,1412560.68,319.92455374538275,1085.975,4,1,Premium Investors,Moderate Investor,0.34531692528282126
C0123,Individual,Johanna,Fisher,F,Usa,California,Home,4,Yes,Website,0,4,1821348.69,298.5763214886527,1230.6599999999999,5,1,Premium Investors,High Potential Investor,0.4647421104245175
C0124,Individual,Jaylen,Turner,F,Usa,California,Home,4,No,Agency,0,4,1613985.08,280.4248135298491,1184.6299999999999,5,1,Premium Investors,High Potential Investor,0.4041507732621128
C0125,Individual,Michael,Juarez,M,Usa,Colorado,Home,4,Yes,Agency,0,4,1341108.25,287.5490431988801,1148.5475,4,1,Premium Investors,Moderate Investor,0.32442845646440344
C0126,Individual,Adriana,Shaffer,F,Usa,California,Investment,2,No,Agency,1,2,1319929.46,303.61157787909195,850.052,5,0,Budget Buyers,Moderate Investor,0.31824731720388433
C0127,Individual,Julio,Leonard,M,Usa,Nevada,Home,2,Yes,Website,0,2,967474.23,314.93720173163115,765.085,4,3,High-Value Clients,Low Potential,0.21527656361767
C0128,Company,Abdiel,Co,M,Usa,Nevada,Investment,5,Yes,Website,1,5,1639392.9500000002,311.98843610305346,1054.034,5,0,Budget Buyers,High Potential Investor,0.4115864416171649
C0129,Individual,Warren,Pugh,M,Usa,Arizona,Investment,5,No,Website,1,5,1748372.75,336.27374694863545,1296.9850000000001,4,0,Budget Buyers,High Potential Investor,0.4434357259123227
C0130,Individual,Luis,Crane,M,Usa,Nevada,Home,3,Yes,Website,0,3,1488042.88,308.423784320332,1215.035,4,1,Premium Investors,High Potential Investor,0.3673656573481155
C0131,Individual,Mohammad,Irwin,M,Usa,California,Home,1,No,Website,0,1,1428058.5499999998,299.33404543762134,928.7940000000001,5,3,High-Value Clients,High Potential Investor,0.3498370249760679
C0132,Individual,Davion,Stout,M,Usa,Nevada,Home,1,Yes,Agency,0,1,1203775.04,294.0513542596994,1025.1775,4,3,High-Value Clients,Moderate Investor,0.2843071135638357
C0133,Individual,Logan,Simmons,M,Usa,California,Investment,4,No,Agency,1,4,1449799.93,307.7526795875988,1177.4025000000001,4,0,Budget Buyers,High Potential Investor,0.35619226448829366
C0134,Individual,Kaylin,Villarreal,F,Russia,Novosibirsk,Investment,3,No,Website,1,3,1761669.8699999999,320.93126785361443,1095.602,5,0,Budget Buyers,High Potential Investor,0.4473148891694876
C0135,Individual,Ruben,Melton,M,Usa,Utah,Investment,2,No,Agency,1,2,1221442.92,282.27335399506,1043.6100000000001,4,0,Budget Buyers,Moderate Investor,0.28946454848919373
C0136,Individual,Gianni,Fritz,M,Usa,California,Home,3,No,Website,0,3,1892554.72,305.25171337470726,1244.274,5,1,Premium Investors,High Potential Investor,0.48554857838641563
C0137,Individual,Emilie,Morrison,F,Usa,California,Home,3,Yes,Website,0,3,989750.45,288.9749727554761,855.0699999999999,4,3,High-Value Clients,Low Potential,0.221774768576933
C0138,Individual,Crystal,Wyatt,F,Usa,Oregon,Investment,3,Yes,Website,1,3,1367824.55,301.66109635761745,914.412,5,0,Budget Buyers,Moderate Investor,0.3322397979678322
C0139,Individual,Annabel,Robles,F,Usa,California,Home,5,Yes,Website,0,5,1807366.3,320.61628857850053,1136.694,5,1,Premium Investors,High Potential Investor,0.460665539463763
C0140,Individual,Rachel,Cross,F,Usa,California,Home,3,No,Website,0,3,1559561.53,297.7645569532283,1041.7220000000002,5,1,Premium Investors,High Potential Investor,0.3882569037782611
C0141,Individual,Madalyn,Mercer,F,Usa,California,Home,5,No,Website,0,5,1765019.09,319.12733732553926,1088.806,5,1,Premium Investors,High Potential Investor,0.44829261193160364
C0142,Individual,Michelle,Cameron,F,Usa,Nevada,Home,3,Yes,Website,0,3,1673770.19,292.3324786010019,1149.396,5,1,Premium Investors,High Potential Investor,0.4216224931475365
C0143,Individual,Ezra,Lozano,M,Usa,California,Home,1,No,Website,0,1,2389960.3,289.36566488414894,1008.6325,8,2,Mid-Segment Buyers,High Potential Investor,0.6308671806972722
C0144,Individual,Ramiro,Oneill,M,Usa,California,Home,4,No,Agency,0,4,1897739.74,316.7065941966459,1206.354,5,1,Premium Investors,High Potential Investor,0.4870679189591349
C0145,Individual,Emely,Watts,F,Usa,California,Home,4,No,Website,0,4,1746571.55,274.21065993950833,1297.3200000000002,5,1,Premium Investors,High Potential Investor,0.4428853999367903
C0146,Individual,Hazel,Ayers,M,Usa,Colorado,Home,2,No,Website,0,2,1481536.3900000001,294.4618155325702,1242.6425,4,1,Premium Investors,High Potential Investor,0.3654592536336841
C0147,Individual,Cedric,Goodwin,M,Usa,Utah,Home,4,No,Client,0,4,1398309.27,287.3885472838249,1000.47,5,3,High-Value Clients,Moderate Investor,0.3411406908202235
C0148,Individual,Dayton,Hatfield,M,Usa,Colorado,Investment,4,Yes,Agency,1,4,1700383.7,301.4513793734404,1413.5925,4,0,Budget Buyers,High Potential Investor,0.4294014684237938
C0149,Individual,Piotr,Aleksandrov,M,Russia,Krasnodar Krai,Investment,3,No,Agency,1,3,1049009.0,287.7979932947236,906.4850000000001,4,0,Budget Buyers,Low Potential,0.2390876466036711
C0150,Individual,Memphis,Mcconnell,M,Usa,California,Home,2,Yes,Website,0,2,1846066.58,306.120453424573,1500.95,4,1,Premium Investors,High Potential Investor,0.47196654216380474
C0151,Individual,Arabella,Ferrell,F,Usa,Oregon,Home,1,No,Agency,0,1,1589086.32,277.73682827188185,1123.442,5,1,Premium Investors,High Potential Investor,0.3968751946945064
